ID,C_perc,H_perc,N_perc,O_perc,S_perc
634,26.78,10.38,53.01,9.84,0.0
635,26.46,12.09,53.47,7.7,0.27
636,25.85,13.13,51.59,8.41,1.03
637,24.91,13.62,53.22,7.63,0.63
638,26.11,13.08,53.27,7.3,0.23
639,28.22,13.84,51.04,6.89,0.0
640,26.15,12.65,51.77,8.57,0.86
641,25.22,12.91,53.3,8.08,0.49
642,26.06,13.42,52.01,7.61,0.89
643,27.08,9.88,53.91,9.14,0.0
644,25.85,11.36,54.22,8.43,0.14
645,25.64,12.42,54.61,7.12,0.22
646,27.36,11.62,53.35,7.59,0.08
647,27.6,11.74,53.85,6.27,0.54
648,26.25,13.77,51.35,7.85,0.77
649,26.56,13.05,52.35,7.2,0.84
650,26.43,14.12,52.51,6.77,0.18
651,26.74,13.76,50.85,7.81,0.85
652,26.02,12.97,52.26,8.08,0.67
653,25.64,12.78,54.06,7.22,0.3
654,24.9,10.98,54.62,8.84,0.67
655,25.75,11.14,54.42,8.53,0.16
656,26.27,12.39,53.34,7.88,0.11
657,25.42,12.54,54.07,7.97,0.0
658,27.08,14.23,50.9,6.95,0.84
659,25.79,13.01,52.02,8.31,0.87
660,26.39,12.28,53.51,7.09,0.73
661,26.51,11.54,53.53,8.32,0.1
662,25.48,12.95,52.89,7.85,0.83
663,25.43,13.12,53.47,7.63,0.35
664,26.17,12.23,52.73,8.1,0.78
665,25.5,13.28,53.89,7.02,0.31
666,25.43,11.66,54.05,8.38,0.48
667,26.16,8.96,54.48,10.39,0.0
668,27.19,12.63,52.68,7.49,0.0
669,25.68,12.53,53.19,8.54,0.06
670,26.66,11.56,54.62,6.94,0.22
671,26.9,13.37,52.96,6.6,0.17
672,27.34,12.11,50.78,8.98,0.78
673,25.14,12.96,52.59,9.21,0.1
674,24.95,12.36,54.25,8.0,0.44
675,29.25,9.43,52.36,8.96,0.0
676,26.29,12.59,53.35,7.65,0.12
677,25.09,12.49,53.99,8.38,0.06
678,25.98,13.22,52.11,7.99,0.69
679,26.35,12.42,53.8,6.84,0.59
680,26.37,12.96,52.57,7.25,0.86
681,27.27,15.58,49.35,7.79,0.0
682,26.87,11.9,52.38,8.5,0.34
683,24.76,14.12,52.63,7.85,0.63
684,25.75,13.04,52.48,7.65,1.08
685,27.53,11.37,52.35,8.03,0.73
686,25.7,13.12,52.58,7.78,0.81
687,25.52,13.59,51.04,8.92,0.93
688,26.46,12.23,53.41,7.24,0.67
689,25.88,11.04,53.73,9.02,0.34
690,28.11,13.2,51.81,6.18,0.69
691,26.65,12.55,52.55,7.63,0.62
692,25.76,12.72,53.75,7.66,0.1
693,26.39,13.26,52.45,7.12,0.78
694,25.95,13.51,52.63,7.19,0.73
695,24.52,11.53,53.45,10.28,0.23
696,26.91,11.69,54.16,6.83,0.41
697,28.06,9.35,56.47,6.12,0.0
698,28.49,9.76,53.12,8.63,0.0
699,25.68,13.17,52.87,8.28,0.0
700,29.05,9.25,54.76,6.94,0.0
701,25.47,12.1,54.03,8.23,0.16
702,26.62,13.31,51.54,7.85,0.68
703,26.86,12.67,52.09,7.76,0.61
704,27.06,10.56,55.12,6.93,0.33
705,25.74,13.4,52.43,7.59,0.83
706,25.39,12.65,53.77,8.03,0.16
707,26.31,14.05,51.47,7.68,0.49
708,26.18,13.37,51.8,7.75,0.9
709,28.37,11.61,53.31,6.21,0.49
710,24.7,9.56,55.78,9.56,0.4
711,26.2,13.27,50.95,8.7,0.89
712,26.35,12.32,53.1,7.5,0.73
713,26.33,14.42,50.85,7.49,0.91
714,25.3,12.0,53.19,9.05,0.46
715,28.03,12.83,52.23,6.28,0.64
716,25.87,13.99,52.47,6.83,0.84
717,26.86,12.23,53.04,7.31,0.55
718,27.77,11.4,51.9,8.26,0.66
719,26.32,11.76,55.42,6.5,0.0
720,26.4,14.45,52.07,6.97,0.11
721,25.63,14.72,51.17,7.5,0.97
722,25.73,12.38,53.45,8.27,0.17
723,25.27,11.16,53.9,9.14,0.54
724,25.6,11.4,53.82,8.5,0.68
725,27.15,12.36,52.3,8.02,0.16
726,26.11,13.91,51.94,7.19,0.85
727,26.72,13.8,52.14,7.28,0.06
728,23.26,15.5,50.39,10.08,0.78
729,27.07,10.97,53.85,8.12,0.0
730,25.95,12.97,53.86,6.87,0.35
731,25.37,11.66,54.06,8.42,0.49
732,26.56,13.07,50.93,8.61,0.83
733,24.6,13.84,53.36,7.66,0.54
734,25.95,12.76,52.02,8.4,0.87
735,25.95,12.34,54.42,7.09,0.19
736,24.9,14.94,50.62,8.71,0.83
737,25.26,14.57,52.41,7.13,0.63
738,24.51,9.34,54.86,10.51,0.78
739,25.34,12.04,53.82,8.22,0.59
740,26.8,12.11,53.69,6.62,0.77
741,27.42,8.7,57.19,6.69,0.0
742,26.08,12.85,53.35,7.35,0.38
743,25.39,12.36,55.19,7.06,0.0
744,28.29,9.96,50.6,11.16,0.0
745,26.46,10.64,53.58,9.23,0.09
746,25.29,13.1,53.54,7.91,0.16
747,26.97,12.4,53.54,6.52,0.56
748,24.39,12.8,53.66,8.54,0.61
749,25.39,13.43,53.73,6.93,0.52
750,27.22,12.51,52.56,6.92,0.79
751,30.77,15.38,46.15,7.69,0.0
752,26.26,12.25,53.81,7.45,0.23
753,25.55,13.64,52.7,7.62,0.49
754,26.51,11.49,54.92,7.0,0.08
755,26.71,12.78,52.26,7.59,0.67
756,27.03,12.4,53.42,7.0,0.16
757,25.0,14.41,51.88,7.52,1.19
758,25.36,12.72,53.73,8.02,0.16
759,26.17,11.59,53.26,8.7,0.29
760,26.5,13.29,53.14,6.64,0.43
761,27.78,12.3,51.19,7.94,0.79
762,26.32,12.53,53.78,7.04,0.34
763,27.35,9.94,52.21,9.39,1.1
764,32.52,7.98,50.92,8.59,0.0
765,25.09,12.03,54.18,8.45,0.26
766,26.29,12.18,54.05,7.37,0.11
767,28.0,12.56,52.66,6.14,0.63
768,26.27,12.09,53.37,8.16,0.11
769,25.73,13.6,52.7,7.08,0.9
770,26.09,12.9,52.69,7.81,0.52
771,26.67,12.3,53.8,7.23,0.0
772,26.35,13.28,51.75,7.65,0.96
773,25.8,13.45,52.45,7.36,0.93
774,26.43,13.21,52.85,6.91,0.6
775,24.79,11.57,55.1,8.26,0.28
776,25.87,12.59,53.65,7.79,0.11
777,27.56,12.34,52.81,6.78,0.51
778,25.57,12.1,53.4,8.02,0.91
779,25.82,9.34,58.24,6.59,0.0
780,27.19,13.07,51.49,7.54,0.7
781,27.07,12.37,51.67,8.15,0.73
782,27.91,10.57,53.66,7.86,0.0
783,26.3,12.51,52.07,8.27,0.85
784,23.78,8.54,55.49,11.59,0.61
785,26.3,12.64,53.03,7.69,0.34
786,26.54,13.11,50.77,8.7,0.88
787,25.2,10.57,54.47,8.94,0.81
788,25.73,13.36,53.28,7.09,0.53
789,25.89,12.35,53.34,8.1,0.31
790,25.69,13.15,53.14,7.22,0.81
791,25.17,9.52,57.14,8.16,0.0
792,25.27,12.83,52.69,8.23,0.98
793,26.8,10.78,54.1,8.32,0.0
794,26.04,10.59,54.42,8.84,0.1
795,24.48,13.99,54.55,6.99,0.0
796,25.2,12.82,54.29,7.6,0.09
797,25.77,13.43,52.04,8.25,0.51
798,25.62,12.53,53.58,7.38,0.89
799,28.2,11.14,53.59,6.88,0.19
800,26.32,13.45,50.99,8.33,0.91
801,25.96,12.37,52.13,9.33,0.2
802,26.52,13.91,53.91,5.65,0.0
803,29.02,13.73,51.37,5.88,0.0
804,25.15,13.61,51.76,8.51,0.97
805,27.45,12.74,52.58,6.8,0.43
806,27.73,11.43,53.8,6.61,0.43
807,24.78,8.85,53.54,12.83,0.0
808,25.75,14.23,51.81,7.3,0.9
809,26.15,11.69,54.57,7.6,0.0
810,26.72,12.83,51.01,8.59,0.85
811,26.18,10.14,54.65,8.76,0.28
812,28.57,9.52,54.76,7.14,0.0
813,26.92,10.49,55.94,6.64,0.0
814,25.65,12.77,53.09,8.43,0.06
815,26.13,13.64,51.35,8.11,0.77
816,25.95,13.22,51.9,7.77,1.16
817,25.61,12.33,52.71,8.87,0.48
818,27.34,11.87,51.44,8.63,0.72
819,28.34,10.14,54.38,7.14,0.0
820,26.79,12.72,51.79,8.48,0.22
821,25.93,13.03,50.75,9.33,0.96
822,25.29,9.74,57.54,7.42,0.0
823,26.28,11.81,53.8,7.79,0.32
824,25.95,10.97,53.63,9.26,0.19
825,26.53,12.83,51.7,8.07,0.87
826,26.05,12.09,53.41,8.34,0.11
827,26.16,10.64,54.77,8.43,0.0
828,27.49,11.77,54.31,6.29,0.15
829,27.31,13.26,52.31,6.77,0.36
830,26.18,13.09,52.71,7.2,0.82
831,25.76,13.85,52.49,7.62,0.28
832,28.98,11.21,52.59,6.62,0.6
833,26.33,13.22,51.14,8.45,0.87
834,26.77,11.99,53.49,7.54,0.2
835,25.07,14.63,50.15,9.55,0.6
836,27.36,10.14,54.53,7.97,0.0
837,25.19,9.16,56.49,9.16,0.0
838,25.45,13.68,51.11,8.85,0.91
839,26.58,9.66,54.01,9.74,0.0
840,27.28,12.2,53.3,6.78,0.45
841,25.68,13.84,52.16,7.6,0.72
842,25.55,13.63,51.22,8.64,0.97
843,25.55,11.39,53.97,8.61,0.48
844,26.4,9.6,55.6,8.4,0.0
845,27.48,10.64,51.24,9.65,0.99
846,29.21,13.86,50.5,6.44,0.0
847,24.93,10.84,54.88,8.54,0.81
848,25.31,11.25,53.85,9.38,0.21
849,26.42,13.05,51.34,8.34,0.86
850,27.81,11.25,53.37,7.57,0.0
851,24.79,12.87,52.09,9.06,1.19
852,29.27,10.37,53.66,6.71,0.0
853,25.29,12.73,53.27,7.98,0.73
854,26.14,13.78,51.24,8.06,0.78
855,25.85,12.69,53.82,7.59,0.05
856,24.78,14.12,52.16,8.93,0.0
857,26.3,13.15,52.01,7.56,0.98
858,26.52,13.95,50.97,8.29,0.28
859,25.85,12.02,53.21,8.71,0.21
860,26.12,11.96,53.09,8.57,0.25
861,24.94,14.3,52.55,7.1,1.11
862,26.16,12.13,53.36,8.17,0.17
863,26.75,13.76,51.84,7.64,0.0
864,26.39,13.36,51.78,7.57,0.89
865,27.36,12.5,51.35,8.45,0.34
866,26.17,11.41,53.56,8.25,0.61
867,26.52,11.9,53.67,7.67,0.24
868,27.44,12.24,53.02,6.69,0.6
869,26.21,12.5,53.63,7.66,0.0
870,25.02,13.66,53.38,7.35,0.59
871,26.54,11.42,54.96,7.01,0.08
872,26.61,15.45,51.5,6.01,0.43
873,26.55,13.8,52.4,6.32,0.94
874,25.29,13.45,52.94,7.72,0.61
875,26.24,11.35,56.74,5.67,0.0
876,26.37,13.84,53.0,6.7,0.09
877,26.5,12.15,53.73,7.26,0.37
878,26.45,12.85,52.77,7.38,0.55
879,25.97,12.67,53.56,7.12,0.69
880,25.33,13.22,54.54,6.58,0.33
881,26.29,13.49,52.79,7.15,0.27
882,26.49,15.65,51.69,6.09,0.08
883,26.71,11.73,53.59,7.36,0.61
884,25.77,13.99,53.41,6.83,0.0
885,25.78,12.86,53.31,7.68,0.37
886,26.13,12.46,53.16,8.18,0.06
887,26.04,11.53,54.64,7.58,0.21
888,26.1,13.09,52.05,8.04,0.71
889,27.28,12.49,52.76,7.42,0.06
890,26.66,11.61,54.44,7.05,0.24
891,26.34,11.92,53.62,7.94,0.18
892,25.2,12.64,53.28,8.48,0.4
893,27.08,13.6,52.36,6.53,0.42
894,26.15,12.65,51.77,8.57,0.86
895,26.03,13.8,52.05,7.34,0.79
896,26.2,13.73,51.03,8.12,0.92
897,26.12,12.76,52.41,8.1,0.6
898,25.87,12.79,53.07,7.81,0.46
899,24.74,10.0,55.53,9.74,0.0
900,26.43,12.92,53.27,7.04,0.33
901,27.45,13.24,50.0,8.33,0.98
902,28.03,12.8,52.83,5.77,0.58
903,26.15,11.75,54.16,7.68,0.26
904,26.81,14.68,50.0,8.3,0.21
905,25.79,12.3,52.38,9.13,0.4
906,24.93,15.09,50.81,8.09,1.08
907,26.3,12.93,51.93,7.85,0.99
908,26.33,13.73,50.62,8.29,1.02
909,26.57,11.94,53.5,7.92,0.07
910,25.88,11.99,53.89,8.19,0.06
911,26.53,13.38,50.45,8.73,0.91
912,25.64,13.73,51.64,8.02,0.97
913,27.62,11.6,50.83,9.94,0.0
914,25.9,12.82,53.74,7.29,0.25
915,25.13,15.82,48.86,10.19,0.0
916,26.7,13.19,53.28,6.5,0.32
917,25.51,15.64,50.72,7.1,1.03
918,27.37,12.77,50.73,8.76,0.36
919,27.25,11.68,54.49,6.59,0.0
920,27.38,12.49,53.19,6.11,0.83
921,27.27,11.53,54.1,6.65,0.44
922,25.53,11.77,53.7,8.99,0.0
923,26.94,12.67,53.17,6.58,0.64
924,26.5,11.08,53.42,8.58,0.42
925,27.48,12.16,51.35,8.56,0.45
926,26.4,12.04,52.94,7.93,0.68
927,25.77,12.34,53.82,8.01,0.05
928,25.83,12.34,54.46,7.37,0.0
929,27.69,15.73,50.65,5.71,0.22
930,24.91,12.27,52.79,9.29,0.74
931,26.14,13.24,50.72,9.01,0.89
932,26.76,12.16,52.16,8.11,0.81
933,26.0,13.41,51.7,8.3,0.59
934,26.35,13.39,52.27,7.2,0.79
935,26.76,12.4,52.89,7.11,0.84
936,24.63,13.89,53.29,7.58,0.6
937,25.76,12.83,53.67,7.35,0.39
938,25.45,13.35,53.21,7.47,0.53
939,26.08,12.88,51.85,8.34,0.84
940,25.58,13.52,51.05,8.91,0.94
941,26.81,12.35,53.35,7.41,0.09
942,27.82,12.84,52.24,6.61,0.49
943,26.43,13.48,52.43,6.58,1.08
944,26.39,12.59,53.2,7.14,0.68
945,27.61,13.87,51.39,7.0,0.13
946,26.58,12.78,52.66,7.09,0.89
947,26.35,12.28,53.36,7.84,0.17
948,25.92,13.3,52.12,7.86,0.8
949,25.91,12.04,53.23,8.28,0.54
950,27.13,14.22,52.11,6.37,0.18
951,26.28,13.52,51.53,7.91,0.77
952,27.28,13.74,50.75,7.42,0.8
953,24.3,10.92,55.28,9.51,0.0
954,26.14,13.27,52.99,7.5,0.1
955,28.1,12.88,51.67,7.29,0.06
956,33.12,8.2,50.47,8.2,0.0
957,26.62,13.36,51.75,7.64,0.64
958,26.97,13.95,52.44,6.45,0.19
959,28.72,10.26,54.1,6.92,0.0
960,26.26,13.18,51.62,7.93,1.01
961,24.85,12.95,53.97,8.18,0.06
962,26.24,13.76,51.71,7.9,0.39
963,25.85,12.81,50.88,9.52,0.94
964,26.16,11.59,54.55,7.63,0.07
965,26.16,11.83,55.2,6.81,0.0
966,27.24,12.31,53.76,6.09,0.6
967,26.68,13.68,52.34,6.96,0.34
968,27.04,13.18,51.97,7.14,0.67
969,25.39,13.75,53.33,7.21,0.33
970,26.89,12.35,52.52,7.9,0.34
971,23.85,13.85,52.69,9.62,0.0
972,26.45,13.15,52.35,7.25,0.8
973,26.25,9.27,54.83,9.65,0.0
974,26.08,12.47,53.99,7.2,0.26
975,26.78,12.93,52.44,7.14,0.71
976,26.63,12.47,53.78,6.95,0.18
977,26.21,13.69,51.36,7.96,0.78
978,25.58,13.52,52.7,7.48,0.72
979,25.49,11.71,53.93,8.46,0.41
980,25.98,12.34,53.86,7.71,0.12
981,26.44,13.28,51.25,8.16,0.87
982,26.74,12.94,52.49,7.09,0.75
983,28.95,9.47,54.21,7.37,0.0
984,28.12,11.67,51.46,7.96,0.8
985,25.42,11.83,54.42,8.27,0.06
986,26.81,12.59,51.81,8.07,0.72
987,25.5,13.07,51.76,8.67,1.01
988,28.29,11.39,53.86,6.06,0.4
989,26.0,11.5,51.5,10.0,1.0
990,26.58,9.3,55.15,8.97,0.0
991,25.78,13.37,52.84,7.53,0.48
992,25.06,13.97,53.46,7.04,0.46
993,25.37,13.73,51.35,8.58,0.98
994,25.5,12.75,54.25,7.24,0.27
995,26.32,13.73,53.34,6.49,0.13
996,25.19,13.83,54.2,6.79,0.0
997,27.94,11.76,52.45,7.84,0.0
998,26.85,11.92,52.32,8.03,0.88
999,26.13,13.6,52.99,7.21,0.08
1000,25.33,17.0,50.33,7.33,0.0
1001,25.8,12.48,53.19,8.07,0.47
1002,26.01,12.75,51.34,9.9,0.0
1003,29.78,8.44,53.33,8.44,0.0
1004,26.0,12.33,53.75,7.8,0.12
1005,26.61,12.81,53.23,7.17,0.18
1006,27.34,12.17,53.47,6.51,0.5
1007,26.41,12.77,52.66,7.13,1.02
1008,25.29,11.9,53.59,9.22,0.0
1009,25.65,13.36,53.26,7.05,0.67
1010,25.84,13.9,52.79,7.46,0.0
1011,27.09,13.11,51.9,7.26,0.65
1012,25.55,11.29,54.07,8.52,0.57
1013,26.35,11.92,53.85,7.79,0.1
1014,29.21,13.12,51.98,5.69,0.0
1015,24.55,14.48,52.74,7.53,0.7
1016,27.58,12.35,52.99,6.76,0.31
1017,26.85,12.07,53.8,7.17,0.11
1018,25.81,11.28,52.13,9.77,1.0
1019,26.33,13.21,52.29,7.61,0.55
1020,25.25,14.55,51.39,7.72,1.09
1021,28.13,11.73,53.56,6.2,0.37
1022,25.2,13.83,52.55,7.87,0.55
1023,25.97,11.31,54.52,8.05,0.15
1024,25.85,13.29,52.13,8.16,0.58
1025,26.15,14.81,52.18,6.67,0.19
1026,28.66,13.13,51.17,6.99,0.05
1027,25.91,13.32,53.74,6.66,0.37
1028,27.23,11.84,53.59,6.83,0.51
1029,27.94,12.24,50.12,9.7,0.0
1030,27.19,11.91,53.16,7.54,0.2
1031,25.85,12.66,51.81,8.72,0.96
1032,26.0,12.92,53.43,7.58,0.08
1033,27.29,11.61,54.27,6.46,0.38
1034,26.07,13.04,53.49,6.98,0.42
1035,26.31,12.39,53.34,7.24,0.72
1036,25.44,13.49,51.01,9.35,0.71
1037,26.58,13.36,52.96,6.78,0.33
1038,27.92,11.64,53.53,6.71,0.2
1039,27.8,13.17,50.73,7.32,0.98
1040,26.8,13.4,52.94,6.86,0.0
1041,25.52,9.9,56.25,8.33,0.0
1042,25.16,13.39,53.18,8.12,0.15
1043,24.68,14.66,53.06,6.86,0.74
1044,24.82,14.37,51.23,8.72,0.86
1045,25.82,13.29,51.77,8.48,0.63
1046,28.04,12.55,51.29,7.01,1.11
1047,28.16,12.55,52.42,6.04,0.84
1048,27.1,13.72,50.96,8.23,0.0
1049,25.58,13.83,51.65,7.96,0.98
1050,26.51,12.87,53.12,7.28,0.22
1051,26.02,13.01,52.6,8.3,0.07
1052,26.13,12.59,53.2,7.45,0.63
1053,26.82,15.26,51.37,6.26,0.28
1054,26.05,12.1,54.03,7.58,0.24
1055,27.4,11.86,51.69,8.19,0.85
1056,25.44,12.24,54.31,7.75,0.26
1057,25.97,12.56,54.58,6.61,0.28
1058,26.28,13.25,51.11,8.46,0.89
1059,27.32,12.45,52.83,6.53,0.87
1060,26.18,12.35,53.22,8.16,0.08
1061,26.35,12.87,52.8,7.1,0.89
1062,26.08,13.71,53.49,6.45,0.27
1063,25.88,13.02,51.15,9.49,0.46
1064,25.58,14.97,50.2,8.16,1.09
1065,25.8,11.79,54.01,8.41,0.0
1066,25.62,11.88,54.58,7.92,0.0
1067,26.26,14.19,51.84,6.82,0.89
1068,25.62,10.0,56.88,7.5,0.0
1069,28.59,9.88,53.13,8.4,0.0
1070,28.36,9.95,55.47,5.72,0.5
1071,29.45,13.19,49.23,8.13,0.0
1072,25.33,13.46,53.59,7.3,0.32
1073,25.59,13.02,52.61,7.97,0.8
1074,26.6,12.53,53.61,7.15,0.12
1075,26.54,12.29,52.51,8.38,0.28
1076,26.01,10.02,55.85,8.11,0.0
1077,25.88,13.12,52.61,7.53,0.85
1078,26.74,12.58,51.69,8.54,0.45
1079,27.83,12.61,50.43,8.26,0.87
1080,25.51,11.87,56.31,6.31,0.0
1081,25.71,13.8,51.7,8.22,0.57
1082,27.0,12.94,52.58,6.77,0.71
1083,26.21,13.33,52.8,6.82,0.84
1084,24.37,12.98,53.64,8.08,0.93
1085,24.28,11.39,54.82,9.51,0.0
1086,29.19,9.14,54.57,7.11,0.0
1087,25.68,12.57,53.52,7.69,0.54
1088,26.15,8.48,55.12,10.25,0.0
1089,26.67,11.93,53.19,7.48,0.74
1090,26.45,13.01,50.82,8.85,0.87
1091,25.53,13.56,52.11,8.19,0.62
1092,25.52,13.61,51.15,8.75,0.97
1093,27.34,12.38,52.71,6.71,0.86
1094,26.24,12.27,53.81,7.56,0.12
1095,26.22,12.97,52.67,7.34,0.8
1096,25.83,12.07,54.47,7.57,0.07
1097,31.15,8.52,52.46,7.87,0.0
1098,26.2,12.51,53.59,7.58,0.11
1099,27.39,13.15,53.06,5.95,0.45
1100,25.53,12.74,53.83,7.78,0.12
1101,26.59,14.13,51.81,6.79,0.68
1102,25.13,15.0,50.77,8.46,0.64
1103,26.6,10.11,52.13,11.17,0.0
1104,25.11,12.86,54.11,7.92,0.0
1105,25.6,12.18,52.89,8.79,0.54
1106,26.67,13.03,52.48,7.07,0.74
1107,29.23,8.21,53.85,8.72,0.0
1108,26.13,13.4,50.79,8.78,0.9
1109,25.86,12.26,54.11,7.47,0.3
1110,26.61,12.51,52.93,7.85,0.11
1111,26.46,12.4,54.32,6.76,0.06
1112,25.75,11.88,53.7,8.09,0.58
1113,27.16,12.61,52.38,7.57,0.29
1114,25.02,12.18,54.02,8.62,0.17
1115,26.16,13.43,52.22,7.31,0.89
1116,26.0,12.05,53.67,8.05,0.24
1117,25.55,11.05,54.27,8.55,0.58
1118,28.29,11.48,52.08,7.82,0.33
1119,25.84,12.92,53.67,7.13,0.45
1120,26.87,13.3,52.16,7.58,0.09
1121,25.96,13.12,52.97,7.47,0.48
1122,25.92,11.54,53.3,8.79,0.46
1123,25.9,13.12,51.88,8.31,0.79
1124,26.5,11.86,53.45,7.87,0.32
1125,25.95,13.62,51.78,7.46,1.19
1126,25.84,12.14,53.97,8.05,0.0
1127,25.87,12.13,53.34,7.67,0.99
1128,26.48,12.11,52.39,8.45,0.56
1129,25.32,12.72,53.21,7.58,1.17
1130,22.37,15.11,52.01,10.52,0.0
1131,25.98,12.23,53.89,7.67,0.23
1132,26.4,12.66,53.57,6.52,0.85
1133,25.48,12.3,53.25,8.65,0.32
1134,26.92,10.49,55.94,6.64,0.0
1135,24.44,12.22,52.53,9.99,0.82
1136,25.18,12.72,54.03,7.97,0.09
1137,25.89,11.54,54.29,8.06,0.23
1138,26.57,13.23,50.72,8.6,0.88
1139,26.67,14.17,51.85,6.76,0.56
1140,26.4,9.39,55.33,8.88,0.0
1141,25.11,14.03,54.0,6.87,0.0
1142,28.04,9.35,53.27,9.35,0.0
1143,27.02,13.21,52.66,6.61,0.49
1144,25.84,14.38,51.69,7.87,0.22
1145,26.03,13.17,52.13,7.98,0.7
1146,25.7,13.51,52.06,8.16,0.56
1147,27.27,9.09,52.27,11.36,0.0
1148,26.54,13.11,51.1,8.37,0.88
1149,26.61,12.89,51.04,8.63,0.83
1150,25.75,13.08,53.37,7.4,0.4
1151,25.23,12.66,54.11,7.53,0.47
1152,28.57,9.52,54.76,7.14,0.0
1153,25.46,12.27,53.64,8.38,0.25
1154,27.02,13.16,52.69,6.96,0.18
1155,25.19,13.13,53.01,7.76,0.9
1156,26.44,13.52,51.99,7.24,0.81
1157,26.29,12.95,52.57,7.74,0.45
1158,27.63,11.89,53.25,6.77,0.46
1159,25.96,13.62,52.83,6.86,0.73
1160,25.56,18.8,49.62,6.02,0.0
1161,24.32,11.28,54.21,9.38,0.82
1162,26.18,12.29,53.71,7.71,0.12
1163,31.95,8.31,51.44,8.31,0.0
1164,26.2,12.05,53.92,7.84,0.0
1165,25.86,13.5,52.46,7.38,0.8
1166,27.02,13.18,51.51,7.53,0.75
1167,27.24,12.04,52.6,7.34,0.77
1168,26.25,12.69,51.84,8.35,0.87
1169,26.02,12.92,52.61,7.75,0.69
1170,26.32,13.35,52.14,7.31,0.88
1171,25.29,14.71,52.65,7.35,0.0
1172,26.33,13.24,52.37,7.91,0.14
1173,25.82,12.26,53.34,8.34,0.25
1174,26.51,13.09,52.81,7.31,0.27
1175,26.2,13.5,52.46,7.71,0.13
1176,28.9,10.98,51.45,6.94,1.73
1177,26.13,12.55,53.02,8.24,0.06
1178,29.28,8.93,54.84,6.95,0.0
1179,25.1,9.72,56.28,8.5,0.4
1180,24.55,11.91,54.27,8.75,0.53
1181,26.58,12.61,51.58,8.56,0.68
1182,27.16,13.11,51.69,7.98,0.05
1183,26.59,12.4,53.89,7.01,0.11
1184,27.93,13.8,51.04,7.22,0.0
1185,26.4,9.25,53.95,10.21,0.19
1186,25.96,12.63,53.75,7.5,0.15
1187,27.07,11.57,50.44,10.92,0.0
1188,25.64,14.05,51.77,7.96,0.59
1189,26.03,13.35,52.14,7.72,0.76
1190,26.42,9.66,55.68,8.24,0.0
1191,25.91,13.64,52.83,7.08,0.53
1192,25.49,13.79,51.33,8.46,0.93
1193,25.4,13.69,52.79,7.81,0.31
1194,25.99,13.88,51.99,7.51,0.63
1195,26.4,14.34,52.45,5.97,0.84
1196,25.59,13.99,52.38,7.31,0.73
1197,26.15,12.94,52.84,7.81,0.27
1198,26.05,14.5,51.03,7.61,0.81
1199,26.98,13.55,52.01,6.66,0.8
1200,25.24,12.5,54.88,7.02,0.36
1201,25.44,14.29,52.44,7.83,0.0
1202,26.21,12.2,53.28,8.19,0.11
1203,25.58,12.88,50.77,9.62,1.15
1204,26.96,11.86,54.01,6.74,0.43
1205,26.88,13.55,51.74,7.28,0.56
1206,27.88,12.58,52.6,6.41,0.53
1207,26.08,12.27,53.56,8.09,0.0
1208,26.92,12.59,53.12,6.35,1.02
1209,26.12,13.9,52.05,7.18,0.75
1210,26.32,12.85,53.59,6.85,0.39
1211,25.72,13.03,54.15,6.77,0.34
1212,26.77,12.09,54.05,6.59,0.5
1213,27.32,11.98,53.64,6.13,0.93
1214,30.43,11.3,51.3,5.22,1.74
1215,24.81,9.3,56.2,9.69,0.0
1216,25.29,9.34,56.03,9.34,0.0
1217,27.27,12.07,53.41,7.24,0.0
1218,27.91,11.8,54.49,5.75,0.06
1219,26.22,11.84,54.01,7.83,0.1
1220,25.79,12.23,53.03,8.23,0.73
1221,26.75,13.07,51.87,8.0,0.3
1222,25.49,12.51,52.75,8.78,0.47
1223,24.73,10.95,54.59,9.19,0.54
1224,28.26,11.76,52.22,7.6,0.14
1225,26.7,13.74,51.45,7.4,0.7
1226,24.48,9.96,55.6,9.96,0.0
1227,26.54,12.63,53.64,6.45,0.74
1228,27.42,13.46,52.05,6.81,0.25
1229,26.16,12.45,51.79,8.65,0.95
1230,26.12,15.92,48.16,9.8,0.0
1231,24.92,11.28,53.71,9.88,0.21
1232,25.75,14.04,52.15,7.41,0.65
1233,25.93,12.47,53.64,7.91,0.05
1234,24.89,10.13,56.12,8.86,0.0
1235,25.98,12.46,53.25,7.55,0.76
1236,26.6,13.34,51.5,7.87,0.68
1237,26.28,12.83,54.68,5.87,0.34
1238,25.0,10.48,55.08,9.23,0.21
1239,24.71,10.59,54.51,9.54,0.65
1240,25.03,11.26,53.33,10.16,0.22
1241,25.86,13.92,51.63,7.8,0.79
1242,25.18,11.83,54.12,8.47,0.4
1243,26.0,11.63,54.21,7.84,0.33
1244,24.56,12.28,52.98,9.47,0.7
1245,26.12,12.24,53.8,7.76,0.08
1246,26.51,12.78,52.79,7.81,0.11
1247,27.23,13.06,52.71,6.29,0.72
1248,24.56,13.24,54.7,6.97,0.52
1249,26.24,12.75,52.99,7.17,0.85
1250,26.27,11.98,53.78,7.85,0.12
1251,26.01,9.16,54.58,10.26,0.0
1252,26.55,13.13,51.7,7.89,0.74
1253,25.39,11.55,53.59,9.16,0.31
1254,25.5,11.89,54.44,8.17,0.0
1255,27.72,12.11,53.42,6.32,0.44
1256,25.0,11.15,53.25,10.39,0.22
