ID,Positively charged,Negatively charged,Polarity,Non polarity,Cyclic,Aromaticity,Basicity,Hydrophobicity,Hydrophilicity,Small
331,0.317,0.033,0.183,0.467,0.033,0.1,0.317,0.5,0.35,0.417
332,0.18,0.11,0.16,0.5,0.02,0.06,0.18,0.49,0.25,0.52
333,0.444,0.0,0.0,0.556,0.0,0.556,0.444,0.556,0.444,0.0
334,0.25,0.083,0.0,0.667,0.0,0.0,0.25,0.667,0.25,0.417
335,0.185,0.031,0.369,0.4,0.077,0.046,0.185,0.431,0.277,0.569
336,0.125,0.125,0.375,0.339,0.036,0.125,0.125,0.518,0.196,0.625
337,0.182,0.03,0.182,0.576,0.03,0.091,0.182,0.515,0.242,0.5
338,0.286,0.0,0.238,0.333,0.0,0.143,0.286,0.476,0.429,0.571
339,0.25,0.114,0.193,0.42,0.0,0.045,0.25,0.398,0.273,0.443
340,0.583,0.0,0.083,0.333,0.0,0.25,0.583,0.25,0.583,0.167
341,0.322,0.111,0.133,0.4,0.0,0.089,0.322,0.344,0.356,0.278
342,0.118,0.059,0.353,0.382,0.059,0.088,0.118,0.382,0.265,0.676
343,0.2,0.089,0.111,0.556,0.0,0.022,0.2,0.444,0.244,0.489
344,0.226,0.054,0.215,0.473,0.054,0.086,0.226,0.462,0.312,0.419
345,0.132,0.066,0.289,0.474,0.039,0.105,0.132,0.553,0.211,0.526
346,0.121,0.103,0.19,0.552,0.069,0.121,0.121,0.69,0.224,0.5
347,0.122,0.108,0.284,0.473,0.027,0.122,0.122,0.554,0.162,0.432
348,0.257,0.114,0.043,0.557,0.014,0.029,0.257,0.514,0.3,0.529
349,0.0,0.0,0.143,0.857,0.143,0.0,0.0,0.857,0.143,0.571
350,0.148,0.091,0.295,0.398,0.034,0.136,0.148,0.443,0.25,0.477
351,0.265,0.122,0.133,0.459,0.041,0.102,0.265,0.398,0.327,0.347
352,0.154,0.044,0.297,0.473,0.066,0.044,0.154,0.56,0.253,0.637
353,0.235,0.0,0.176,0.529,0.059,0.176,0.235,0.647,0.353,0.471
354,0.099,0.011,0.308,0.527,0.077,0.033,0.099,0.571,0.231,0.703
355,0.137,0.059,0.275,0.49,0.0,0.039,0.137,0.471,0.176,0.333
356,0.068,0.159,0.341,0.409,0.068,0.136,0.068,0.568,0.159,0.545
357,0.14,0.105,0.211,0.491,0.035,0.123,0.14,0.596,0.228,0.509
358,0.19,0.071,0.262,0.429,0.048,0.083,0.19,0.44,0.286,0.56
359,0.08,0.126,0.241,0.54,0.034,0.069,0.08,0.506,0.126,0.506
360,0.203,0.13,0.232,0.42,0.029,0.014,0.203,0.449,0.246,0.493
361,0.04,0.16,0.28,0.48,0.0,0.12,0.04,0.48,0.08,0.52
362,0.186,0.047,0.256,0.465,0.023,0.093,0.186,0.581,0.256,0.605
363,0.151,0.118,0.269,0.452,0.022,0.097,0.151,0.484,0.183,0.473
364,0.143,0.082,0.327,0.367,0.041,0.082,0.143,0.531,0.265,0.592
365,0.195,0.085,0.146,0.524,0.037,0.073,0.195,0.463,0.28,0.5
366,0.183,0.183,0.155,0.451,0.014,0.07,0.183,0.479,0.225,0.38
367,0.25,0.0,0.083,0.667,0.0,0.0,0.25,0.667,0.25,0.5
368,0.128,0.117,0.287,0.436,0.011,0.064,0.128,0.489,0.17,0.511
369,0.22,0.06,0.28,0.3,0.0,0.12,0.22,0.42,0.36,0.58
370,0.172,0.172,0.172,0.483,0.0,0.0,0.172,0.517,0.172,0.483
371,0.18,0.11,0.19,0.49,0.08,0.1,0.18,0.55,0.29,0.4
372,0.286,0.122,0.224,0.265,0.041,0.041,0.286,0.408,0.429,0.429
373,0.068,0.023,0.182,0.682,0.091,0.068,0.068,0.636,0.205,0.727
374,0.261,0.065,0.185,0.467,0.043,0.054,0.261,0.446,0.326,0.489
375,0.241,0.069,0.19,0.483,0.034,0.017,0.241,0.517,0.293,0.448
376,0.125,0.375,0.125,0.375,0.125,0.375,0.125,0.375,0.25,0.25
377,0.15,0.2,0.19,0.44,0.05,0.1,0.15,0.48,0.22,0.5
378,0.045,0.0,0.227,0.682,0.091,0.136,0.045,0.727,0.182,0.818
379,0.294,0.059,0.235,0.353,0.059,0.118,0.294,0.412,0.412,0.529
380,0.15,0.125,0.225,0.45,0.05,0.088,0.15,0.488,0.25,0.512
381,0.278,0.056,0.222,0.389,0.056,0.111,0.278,0.444,0.389,0.5
382,0.243,0.068,0.203,0.459,0.041,0.054,0.243,0.514,0.311,0.473
383,0.5,0.083,0.0,0.417,0.0,0.083,0.5,0.417,0.5,0.25
384,0.233,0.093,0.302,0.372,0.093,0.093,0.233,0.535,0.326,0.535
385,0.172,0.069,0.276,0.431,0.069,0.034,0.172,0.534,0.293,0.603
386,0.175,0.032,0.095,0.683,0.032,0.048,0.175,0.556,0.222,0.492
387,0.176,0.068,0.284,0.419,0.027,0.081,0.176,0.5,0.257,0.514
388,0.412,0.039,0.176,0.353,0.02,0.078,0.412,0.333,0.451,0.333
389,0.159,0.136,0.239,0.432,0.102,0.045,0.159,0.432,0.295,0.614
390,0.444,0.0,0.0,0.556,0.056,0.167,0.444,0.556,0.5,0.167
391,0.119,0.237,0.119,0.492,0.085,0.051,0.119,0.508,0.237,0.492
392,0.217,0.117,0.217,0.417,0.017,0.033,0.217,0.433,0.267,0.45
393,0.164,0.09,0.343,0.299,0.075,0.09,0.164,0.448,0.343,0.672
394,0.15,0.133,0.25,0.433,0.05,0.067,0.15,0.45,0.233,0.617
395,0.073,0.085,0.244,0.585,0.073,0.11,0.073,0.622,0.159,0.476
396,0.196,0.02,0.333,0.353,0.039,0.098,0.196,0.451,0.333,0.549
397,0.085,0.17,0.298,0.426,0.043,0.191,0.085,0.489,0.149,0.319
398,0.264,0.075,0.302,0.302,0.0,0.094,0.264,0.377,0.321,0.566
399,0.299,0.124,0.196,0.351,0.01,0.082,0.299,0.392,0.34,0.381
400,0.16,0.02,0.32,0.38,0.06,0.1,0.16,0.48,0.34,0.6
401,0.146,0.073,0.268,0.463,0.0,0.049,0.146,0.463,0.195,0.268
402,0.26,0.08,0.32,0.26,0.0,0.1,0.26,0.36,0.34,0.54
403,0.149,0.069,0.356,0.379,0.034,0.069,0.149,0.46,0.23,0.586
404,0.13,0.074,0.241,0.519,0.019,0.148,0.13,0.574,0.185,0.481
405,0.444,0.0,0.0,0.556,0.056,0.167,0.444,0.556,0.5,0.111
406,0.343,0.029,0.143,0.457,0.0,0.057,0.343,0.457,0.371,0.314
407,0.157,0.12,0.193,0.47,0.012,0.072,0.157,0.434,0.229,0.542
408,0.333,0.111,0.222,0.333,0.0,0.0,0.333,0.444,0.333,0.222
409,0.264,0.125,0.125,0.444,0.0,0.056,0.264,0.417,0.306,0.347
410,0.368,0.158,0.211,0.211,0.026,0.211,0.368,0.132,0.447,0.316
411,0.157,0.039,0.314,0.373,0.059,0.098,0.157,0.471,0.333,0.588
412,0.119,0.153,0.203,0.525,0.051,0.034,0.119,0.525,0.169,0.525
413,0.146,0.062,0.292,0.458,0.0,0.062,0.146,0.458,0.188,0.542
414,0.222,0.019,0.148,0.556,0.056,0.037,0.222,0.574,0.333,0.574
415,0.125,0.104,0.333,0.333,0.042,0.104,0.125,0.354,0.271,0.521
416,0.119,0.085,0.237,0.492,0.136,0.051,0.119,0.508,0.322,0.729
417,0.152,0.136,0.167,0.47,0.0,0.091,0.152,0.5,0.227,0.364
418,0.171,0.146,0.207,0.415,0.0,0.11,0.171,0.378,0.232,0.476
419,0.143,0.089,0.25,0.446,0.036,0.089,0.143,0.5,0.25,0.536
420,0.68,0.04,0.08,0.2,0.0,0.04,0.68,0.2,0.68,0.12
421,0.154,0.0,0.077,0.769,0.231,0.385,0.154,0.769,0.385,0.308
422,0.159,0.068,0.273,0.386,0.0,0.114,0.159,0.409,0.273,0.614
423,0.081,0.216,0.176,0.419,0.0,0.081,0.081,0.405,0.189,0.432
424,0.312,0.0,0.188,0.5,0.0,0.25,0.312,0.5,0.312,0.25
425,0.294,0.157,0.275,0.275,0.039,0.118,0.294,0.353,0.333,0.451
426,0.102,0.17,0.182,0.477,0.023,0.091,0.102,0.443,0.193,0.409
427,0.327,0.058,0.192,0.365,0.038,0.058,0.327,0.462,0.423,0.423
428,0.244,0.146,0.122,0.488,0.0,0.0,0.244,0.488,0.244,0.195
429,0.176,0.103,0.206,0.5,0.088,0.147,0.176,0.471,0.279,0.559
430,0.171,0.061,0.317,0.439,0.049,0.049,0.171,0.561,0.232,0.561
431,0.22,0.068,0.186,0.441,0.017,0.051,0.22,0.475,0.322,0.542
432,0.086,0.022,0.333,0.484,0.043,0.022,0.086,0.516,0.204,0.774
433,0.176,0.118,0.275,0.392,0.059,0.098,0.176,0.49,0.275,0.529
434,0.206,0.095,0.206,0.444,0.016,0.095,0.206,0.556,0.27,0.413
435,0.264,0.075,0.283,0.283,0.019,0.113,0.264,0.377,0.377,0.528
436,0.29,0.108,0.129,0.452,0.054,0.075,0.29,0.462,0.366,0.462
437,0.167,0.125,0.278,0.403,0.014,0.097,0.167,0.556,0.208,0.542
438,0.417,0.0,0.333,0.25,0.0,0.417,0.417,0.167,0.417,0.167
439,0.316,0.053,0.211,0.368,0.053,0.105,0.316,0.421,0.421,0.474
440,0.8,0.0,0.0,0.2,0.2,0.0,0.8,0.2,1.0,0.2
441,0.107,0.083,0.298,0.476,0.036,0.083,0.107,0.595,0.179,0.607
442,0.219,0.042,0.188,0.479,0.042,0.146,0.219,0.531,0.333,0.354
443,0.316,0.0,0.211,0.474,0.316,0.053,0.316,0.474,0.632,0.579
444,0.205,0.103,0.192,0.462,0.026,0.013,0.205,0.513,0.269,0.449
445,0.188,0.062,0.188,0.531,0.094,0.109,0.188,0.609,0.312,0.453
446,0.145,0.145,0.304,0.348,0.072,0.058,0.145,0.522,0.275,0.623
447,0.205,0.096,0.205,0.47,0.024,0.12,0.205,0.542,0.253,0.47
448,0.157,0.034,0.337,0.404,0.034,0.135,0.157,0.472,0.258,0.517
449,0.118,0.088,0.353,0.382,0.029,0.074,0.118,0.471,0.206,0.588
450,0.078,0.141,0.188,0.547,0.078,0.172,0.078,0.688,0.203,0.422
451,0.392,0.0,0.176,0.373,0.039,0.078,0.392,0.412,0.49,0.294
452,0.218,0.145,0.127,0.455,0.018,0.073,0.218,0.4,0.291,0.455
453,0.417,0.0,0.083,0.5,0.0,0.083,0.417,0.583,0.417,0.333
454,0.196,0.02,0.314,0.373,0.059,0.098,0.196,0.471,0.353,0.549
455,0.264,0.075,0.283,0.302,0.019,0.113,0.264,0.396,0.358,0.528
456,0.129,0.1,0.214,0.529,0.029,0.086,0.129,0.586,0.186,0.529
457,0.206,0.029,0.118,0.618,0.044,0.029,0.206,0.544,0.279,0.471
458,0.171,0.122,0.22,0.439,0.049,0.073,0.171,0.488,0.268,0.427
459,0.152,0.087,0.283,0.413,0.13,0.065,0.152,0.522,0.348,0.63
460,0.172,0.086,0.293,0.397,0.017,0.172,0.172,0.431,0.241,0.466
461,0.159,0.068,0.295,0.386,0.0,0.114,0.159,0.432,0.25,0.636
462,0.073,0.098,0.341,0.439,0.049,0.073,0.073,0.585,0.171,0.585
463,0.269,0.064,0.192,0.449,0.026,0.077,0.269,0.423,0.321,0.462
464,0.114,0.203,0.19,0.443,0.114,0.076,0.114,0.544,0.278,0.494
465,0.2,0.077,0.262,0.4,0.077,0.077,0.2,0.477,0.338,0.538
466,0.136,0.0,0.284,0.568,0.111,0.099,0.136,0.531,0.259,0.617
467,0.191,0.064,0.426,0.277,0.043,0.064,0.191,0.426,0.277,0.468
468,0.22,0.06,0.3,0.3,0.0,0.12,0.22,0.42,0.34,0.58
469,0.262,0.119,0.143,0.476,0.048,0.143,0.262,0.405,0.31,0.381
470,0.3,0.05,0.25,0.4,0.05,0.1,0.3,0.45,0.35,0.367
471,0.175,0.048,0.302,0.429,0.048,0.111,0.175,0.381,0.27,0.603
472,0.067,0.133,0.2,0.467,0.0,0.2,0.067,0.533,0.2,0.4
473,0.392,0.02,0.157,0.373,0.059,0.118,0.392,0.431,0.51,0.294
474,0.194,0.164,0.179,0.448,0.06,0.104,0.194,0.537,0.269,0.388
475,0.24,0.06,0.28,0.28,0.0,0.12,0.24,0.38,0.38,0.56
476,0.135,0.081,0.108,0.649,0.054,0.054,0.135,0.568,0.216,0.595
477,0.14,0.08,0.26,0.5,0.04,0.12,0.14,0.54,0.2,0.52
478,0.333,0.0,0.167,0.5,0.167,0.167,0.333,0.667,0.5,0.5
479,0.185,0.056,0.37,0.37,0.111,0.074,0.185,0.5,0.315,0.63
480,0.031,0.108,0.292,0.538,0.108,0.123,0.031,0.708,0.169,0.523
481,0.203,0.062,0.297,0.406,0.047,0.062,0.203,0.438,0.281,0.531
482,0.136,0.068,0.295,0.386,0.0,0.114,0.136,0.432,0.25,0.636
483,0.107,0.095,0.321,0.452,0.024,0.083,0.107,0.571,0.155,0.56
484,0.167,0.148,0.278,0.352,0.019,0.148,0.167,0.444,0.241,0.537
485,0.118,0.059,0.0,0.706,0.0,0.059,0.118,0.647,0.235,0.647
486,0.268,0.113,0.113,0.465,0.014,0.07,0.268,0.493,0.324,0.408
487,0.169,0.13,0.169,0.519,0.013,0.117,0.169,0.545,0.195,0.39
488,0.138,0.106,0.245,0.489,0.043,0.117,0.138,0.532,0.202,0.426
489,0.088,0.265,0.235,0.382,0.029,0.118,0.088,0.559,0.147,0.471
490,0.333,0.0,0.167,0.5,0.083,0.0,0.333,0.667,0.417,0.5
491,0.212,0.088,0.275,0.412,0.038,0.075,0.212,0.425,0.262,0.562
492,0.255,0.064,0.404,0.255,0.021,0.085,0.255,0.426,0.298,0.574
493,0.346,0.038,0.212,0.327,0.058,0.038,0.346,0.423,0.481,0.404
494,0.242,0.152,0.136,0.424,0.0,0.03,0.242,0.485,0.288,0.288
495,0.196,0.098,0.294,0.314,0.0,0.098,0.196,0.412,0.294,0.588
496,0.444,0.222,0.0,0.333,0.111,0.111,0.444,0.222,0.556,0.333
497,0.164,0.036,0.418,0.345,0.036,0.109,0.164,0.436,0.236,0.582
498,0.229,0.057,0.314,0.357,0.014,0.114,0.229,0.4,0.286,0.4
499,0.169,0.197,0.113,0.493,0.042,0.085,0.169,0.521,0.239,0.38
500,0.373,0.017,0.237,0.356,0.017,0.051,0.373,0.39,0.407,0.39
501,0.118,0.118,0.237,0.484,0.032,0.075,0.118,0.473,0.194,0.505
502,0.122,0.022,0.344,0.489,0.056,0.022,0.122,0.522,0.2,0.733
503,0.153,0.085,0.288,0.458,0.017,0.136,0.153,0.576,0.186,0.424
504,0.203,0.085,0.271,0.39,0.034,0.051,0.203,0.441,0.288,0.492
505,0.067,0.0,0.333,0.4,0.067,0.067,0.067,0.333,0.333,0.8
506,0.241,0.076,0.228,0.405,0.038,0.089,0.241,0.43,0.329,0.392
507,0.207,0.086,0.328,0.328,0.017,0.069,0.207,0.448,0.276,0.586
508,0.292,0.031,0.262,0.338,0.031,0.031,0.292,0.446,0.4,0.477
509,0.193,0.193,0.125,0.466,0.034,0.148,0.193,0.5,0.25,0.398
510,0.333,0.0,0.0,0.667,0.0,0.444,0.333,0.667,0.333,0.111
511,0.315,0.093,0.185,0.389,0.037,0.074,0.315,0.426,0.37,0.389
512,0.25,0.0,0.0,0.75,0.0,0.417,0.25,0.75,0.25,0.167
513,0.105,0.123,0.193,0.561,0.088,0.158,0.105,0.667,0.211,0.439
514,0.413,0.022,0.217,0.348,0.022,0.043,0.413,0.304,0.435,0.348
515,0.583,0.0,0.0,0.417,0.0,0.083,0.583,0.417,0.583,0.167
516,0.247,0.16,0.074,0.494,0.062,0.037,0.247,0.506,0.333,0.395
517,0.241,0.069,0.218,0.425,0.023,0.115,0.241,0.425,0.31,0.46
518,0.154,0.077,0.246,0.446,0.015,0.108,0.154,0.585,0.246,0.415
519,0.193,0.084,0.386,0.277,0.024,0.084,0.193,0.482,0.277,0.578
520,0.295,0.038,0.179,0.423,0.0,0.09,0.295,0.397,0.359,0.41
521,0.34,0.0,0.18,0.38,0.04,0.1,0.34,0.46,0.48,0.36
522,0.111,0.139,0.278,0.417,0.139,0.083,0.111,0.639,0.306,0.583
523,0.302,0.058,0.186,0.372,0.0,0.012,0.302,0.407,0.384,0.477
524,0.19,0.069,0.328,0.379,0.052,0.069,0.19,0.5,0.276,0.552
525,0.136,0.068,0.295,0.386,0.0,0.114,0.136,0.455,0.25,0.614
526,0.405,0.0,0.189,0.378,0.054,0.0,0.405,0.324,0.486,0.324
527,0.143,0.055,0.319,0.44,0.0,0.044,0.143,0.549,0.187,0.505
528,0.211,0.105,0.158,0.526,0.0,0.026,0.211,0.5,0.211,0.237
529,0.141,0.169,0.183,0.465,0.0,0.155,0.141,0.535,0.183,0.394
530,0.244,0.122,0.183,0.439,0.049,0.061,0.244,0.476,0.305,0.415
531,0.23,0.069,0.218,0.437,0.023,0.046,0.23,0.391,0.299,0.575
532,0.196,0.02,0.333,0.353,0.059,0.098,0.196,0.451,0.353,0.549
533,0.19,0.032,0.079,0.683,0.032,0.063,0.19,0.556,0.238,0.476
534,0.159,0.068,0.295,0.386,0.0,0.114,0.159,0.432,0.25,0.614
535,0.222,0.0,0.333,0.444,0.111,0.222,0.222,0.667,0.333,0.444
536,0.196,0.02,0.333,0.353,0.059,0.098,0.196,0.471,0.353,0.549
537,0.23,0.14,0.13,0.46,0.01,0.04,0.23,0.44,0.28,0.45
538,0.222,0.062,0.235,0.457,0.012,0.086,0.222,0.383,0.259,0.494
539,0.126,0.179,0.253,0.389,0.0,0.074,0.126,0.432,0.179,0.495
540,0.255,0.064,0.404,0.255,0.021,0.085,0.255,0.383,0.298,0.574
541,0.115,0.077,0.385,0.365,0.115,0.0,0.115,0.519,0.288,0.75
542,0.276,0.103,0.328,0.224,0.034,0.069,0.276,0.345,0.379,0.534
543,0.111,0.022,0.3,0.544,0.056,0.022,0.111,0.533,0.189,0.722
544,0.164,0.082,0.23,0.508,0.049,0.098,0.164,0.623,0.23,0.459
545,0.238,0.063,0.222,0.413,0.016,0.016,0.238,0.46,0.317,0.54
546,0.224,0.122,0.408,0.184,0.02,0.082,0.224,0.367,0.306,0.551
547,0.222,0.0,0.556,0.222,0.0,0.222,0.222,0.333,0.222,0.333
548,0.389,0.0,0.028,0.5,0.083,0.083,0.389,0.417,0.556,0.333
549,0.417,0.033,0.117,0.4,0.033,0.033,0.417,0.3,0.483,0.45
550,0.425,0.025,0.2,0.325,0.0,0.0,0.425,0.325,0.45,0.425
551,0.262,0.131,0.167,0.417,0.024,0.048,0.262,0.464,0.31,0.476
552,0.317,0.033,0.15,0.45,0.017,0.067,0.317,0.433,0.383,0.5
553,0.417,0.0,0.0,0.583,0.0,0.417,0.417,0.583,0.417,0.083
554,0.2,0.2,0.171,0.343,0.0,0.057,0.2,0.314,0.286,0.371
555,0.293,0.067,0.187,0.44,0.0,0.093,0.293,0.387,0.307,0.36
556,0.135,0.154,0.231,0.442,0.096,0.077,0.135,0.538,0.269,0.481
557,0.159,0.188,0.174,0.449,0.014,0.072,0.159,0.507,0.203,0.406
558,0.353,0.059,0.118,0.471,0.0,0.176,0.353,0.471,0.353,0.176
559,0.125,0.0,0.25,0.625,0.0,0.125,0.125,0.75,0.125,0.625
560,0.237,0.105,0.158,0.461,0.026,0.053,0.237,0.447,0.303,0.487
561,0.182,0.015,0.409,0.333,0.106,0.106,0.182,0.485,0.348,0.576
562,0.182,0.03,0.182,0.576,0.03,0.091,0.182,0.515,0.242,0.485
563,0.222,0.111,0.315,0.315,0.037,0.093,0.222,0.463,0.296,0.426
564,0.225,0.07,0.197,0.493,0.0,0.085,0.225,0.507,0.239,0.465
565,0.45,0.0,0.0,0.4,0.0,0.2,0.45,0.2,0.6,0.35
566,0.214,0.071,0.214,0.429,0.071,0.143,0.214,0.429,0.357,0.571
567,0.031,0.108,0.277,0.538,0.077,0.123,0.031,0.692,0.154,0.538
568,0.24,0.06,0.34,0.28,0.0,0.12,0.24,0.4,0.32,0.56
569,0.123,0.077,0.308,0.462,0.031,0.185,0.123,0.554,0.185,0.385
570,0.1,0.0,0.55,0.325,0.0,0.075,0.1,0.375,0.125,0.625
571,0.12,0.06,0.36,0.34,0.02,0.16,0.12,0.44,0.26,0.56
572,0.315,0.0,0.259,0.37,0.019,0.093,0.315,0.407,0.389,0.444
573,0.174,0.043,0.326,0.37,0.087,0.043,0.174,0.543,0.348,0.609
574,0.093,0.116,0.256,0.465,0.14,0.047,0.093,0.605,0.302,0.605
575,0.164,0.055,0.329,0.438,0.041,0.082,0.164,0.562,0.219,0.589
576,0.195,0.171,0.073,0.561,0.0,0.0,0.195,0.366,0.195,0.585
577,0.302,0.186,0.256,0.256,0.023,0.023,0.302,0.302,0.326,0.372
578,0.273,0.182,0.182,0.364,0.0,0.091,0.273,0.273,0.273,0.182
579,0.2,0.222,0.133,0.444,0.0,0.022,0.2,0.444,0.2,0.178
580,0.184,0.115,0.264,0.414,0.046,0.126,0.184,0.46,0.253,0.529
581,0.14,0.023,0.233,0.488,0.0,0.116,0.14,0.419,0.256,0.698
582,0.123,0.07,0.123,0.614,0.07,0.105,0.123,0.649,0.263,0.421
583,0.186,0.209,0.047,0.558,0.0,0.0,0.186,0.372,0.186,0.628
584,0.367,0.063,0.215,0.316,0.025,0.101,0.367,0.405,0.43,0.418
585,0.455,0.0,0.091,0.455,0.0,0.182,0.455,0.455,0.455,0.0
586,0.183,0.113,0.338,0.338,0.042,0.099,0.183,0.437,0.254,0.493
587,0.157,0.02,0.333,0.373,0.059,0.098,0.157,0.471,0.333,0.588
588,0.267,0.209,0.151,0.372,0.035,0.047,0.267,0.384,0.302,0.395
589,0.173,0.192,0.173,0.404,0.019,0.096,0.173,0.404,0.25,0.442
590,0.158,0.14,0.263,0.421,0.07,0.158,0.158,0.509,0.246,0.474
591,0.253,0.02,0.192,0.414,0.01,0.141,0.253,0.424,0.384,0.323
592,0.159,0.136,0.25,0.432,0.102,0.045,0.159,0.443,0.284,0.636
593,0.304,0.071,0.25,0.357,0.018,0.036,0.304,0.375,0.339,0.5
594,0.167,0.091,0.364,0.333,0.061,0.091,0.167,0.439,0.273,0.682
595,0.333,0.0,0.0,0.667,0.083,0.0,0.333,0.667,0.417,0.5
596,0.125,0.109,0.328,0.406,0.062,0.109,0.125,0.5,0.219,0.594
597,0.153,0.085,0.22,0.475,0.034,0.119,0.153,0.576,0.254,0.525
598,0.053,0.039,0.211,0.697,0.0,0.039,0.053,0.684,0.053,0.592
599,0.5,0.0,0.0,0.5,0.0,0.083,0.5,0.5,0.5,0.25
600,0.133,0.169,0.277,0.398,0.036,0.145,0.133,0.47,0.193,0.422
601,0.583,0.0,0.083,0.333,0.0,0.25,0.583,0.25,0.583,0.167
602,0.239,0.07,0.211,0.437,0.014,0.07,0.239,0.465,0.296,0.423
603,0.171,0.073,0.293,0.439,0.073,0.073,0.171,0.439,0.268,0.61
604,0.222,0.049,0.247,0.37,0.012,0.037,0.222,0.444,0.346,0.481
605,0.211,0.158,0.158,0.442,0.084,0.042,0.211,0.379,0.326,0.547
606,0.213,0.085,0.34,0.277,0.021,0.085,0.213,0.404,0.319,0.617
607,0.22,0.06,0.3,0.3,0.0,0.12,0.22,0.42,0.34,0.58
608,0.167,0.083,0.25,0.417,0.0,0.083,0.167,0.5,0.25,0.5
609,0.136,0.045,0.318,0.386,0.0,0.114,0.136,0.409,0.25,0.636
610,0.196,0.107,0.286,0.393,0.054,0.161,0.196,0.446,0.268,0.5
611,0.226,0.054,0.194,0.495,0.054,0.097,0.226,0.484,0.312,0.409
612,0.093,0.023,0.279,0.488,0.0,0.093,0.093,0.419,0.209,0.698
613,0.417,0.0,0.0,0.5,0.0,0.083,0.417,0.5,0.5,0.333
614,0.195,0.024,0.244,0.488,0.098,0.073,0.195,0.561,0.341,0.537
615,0.127,0.091,0.273,0.455,0.055,0.091,0.127,0.436,0.236,0.636
616,0.25,0.104,0.312,0.292,0.042,0.083,0.25,0.417,0.333,0.458
617,0.116,0.07,0.302,0.488,0.047,0.07,0.116,0.581,0.186,0.605
618,0.278,0.097,0.208,0.389,0.042,0.083,0.278,0.417,0.347,0.347
619,0.206,0.155,0.134,0.495,0.052,0.103,0.206,0.505,0.268,0.412
620,0.386,0.0,0.159,0.432,0.023,0.045,0.386,0.455,0.432,0.409
621,0.314,0.0,0.275,0.373,0.02,0.118,0.314,0.373,0.373,0.412
622,0.132,0.211,0.158,0.474,0.0,0.079,0.132,0.526,0.158,0.368
623,0.127,0.113,0.254,0.479,0.085,0.113,0.127,0.606,0.239,0.465
624,0.116,0.093,0.326,0.372,0.0,0.116,0.116,0.442,0.209,0.651
625,0.209,0.119,0.254,0.403,0.06,0.09,0.209,0.463,0.284,0.463
626,0.098,0.02,0.255,0.588,0.078,0.039,0.098,0.471,0.216,0.686
627,0.25,0.0,0.312,0.375,0.062,0.125,0.25,0.5,0.375,0.562
628,0.13,0.043,0.348,0.435,0.109,0.043,0.13,0.63,0.283,0.739
629,0.161,0.125,0.089,0.607,0.018,0.125,0.161,0.536,0.196,0.393
630,0.22,0.06,0.34,0.32,0.0,0.12,0.22,0.44,0.28,0.56
631,0.115,0.069,0.149,0.667,0.011,0.092,0.115,0.713,0.126,0.402
632,0.27,0.095,0.238,0.397,0.032,0.19,0.27,0.413,0.302,0.333
633,0.25,0.15,0.15,0.4,0.0,0.0,0.25,0.4,0.3,0.25
634,0.333,0.0,0.0,0.556,0.111,0.111,0.333,0.444,0.556,0.444
635,0.245,0.053,0.223,0.426,0.032,0.085,0.245,0.426,0.33,0.426
636,0.236,0.055,0.327,0.309,0.0,0.109,0.236,0.4,0.309,0.6
637,0.108,0.043,0.301,0.527,0.075,0.032,0.108,0.548,0.204,0.688
638,0.156,0.122,0.222,0.467,0.022,0.067,0.156,0.5,0.211,0.489
639,0.071,0.081,0.354,0.394,0.04,0.212,0.071,0.414,0.212,0.535
640,0.196,0.02,0.333,0.353,0.059,0.098,0.196,0.451,0.353,0.569
641,0.245,0.057,0.358,0.264,0.0,0.038,0.245,0.453,0.321,0.491
642,0.137,0.039,0.333,0.392,0.059,0.078,0.137,0.471,0.294,0.627
643,0.283,0.0,0.0,0.717,0.467,0.05,0.283,0.667,0.75,0.517
644,0.329,0.1,0.1,0.443,0.043,0.043,0.329,0.471,0.4,0.3
645,0.26,0.11,0.096,0.493,0.055,0.014,0.26,0.466,0.356,0.534
646,0.267,0.117,0.117,0.45,0.083,0.117,0.267,0.417,0.4,0.317
647,0.086,0.069,0.155,0.655,0.086,0.103,0.086,0.724,0.207,0.466
648,0.136,0.091,0.295,0.386,0.0,0.114,0.136,0.409,0.227,0.636
649,0.116,0.093,0.256,0.512,0.058,0.081,0.116,0.558,0.198,0.523
650,0.082,0.133,0.173,0.571,0.051,0.082,0.082,0.51,0.173,0.643
651,0.141,0.127,0.268,0.366,0.07,0.113,0.141,0.493,0.31,0.577
652,0.173,0.053,0.32,0.44,0.04,0.08,0.173,0.56,0.227,0.587
653,0.186,0.114,0.243,0.443,0.057,0.014,0.186,0.529,0.257,0.443
654,0.378,0.027,0.216,0.351,0.054,0.0,0.378,0.405,0.459,0.378
655,0.375,0.016,0.188,0.422,0.031,0.047,0.375,0.469,0.406,0.422
656,0.242,0.077,0.165,0.451,0.044,0.055,0.242,0.484,0.352,0.451
657,0.2,0.133,0.167,0.467,0.0,0.0,0.2,0.433,0.233,0.3
658,0.096,0.154,0.365,0.308,0.077,0.135,0.096,0.481,0.25,0.558
659,0.176,0.02,0.353,0.353,0.059,0.078,0.176,0.451,0.333,0.588
660,0.181,0.069,0.25,0.458,0.056,0.083,0.181,0.514,0.278,0.458
661,0.354,0.062,0.167,0.396,0.062,0.083,0.354,0.458,0.438,0.438
